ATMID,Location,Date,WithdrawalAmount,R10,R20,R50,R100,R200,Deposits,ClosingBalance,Downtime,IsPayday,IsMonthEnd,IsPublicHoliday
ATM-MALL-01,Mall,2026-08-01,15550,80,520,1150,5400,8400,3160,487610,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-02,15100,60,140,1100,4200,9600,3080,475590,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-03,15940,90,500,1450,4500,9400,3670,463320,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-04,16400,100,300,900,4300,10800,3710,450630,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-05,14850,90,260,1400,4500,8600,3260,439040,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-06,17150,120,280,1350,4200,11200,3160,425050,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-07,15080,90,340,1050,5400,8200,2400,412370,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-08,17020,140,280,1300,5100,10200,3010,398360,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-09,21370,100,420,1450,6400,13000,4990,381980,FALSE,FALSE,FALSE,TRUE
ATM-MALL-01,Mall,2026-08-10,15720,70,300,1050,4900,9400,3960,370220,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-11,15570,130,240,700,4700,9800,2860,357510,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-12,16370,90,180,1100,4400,10600,4230,345370,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-13,14860,70,440,1350,3600,9400,3000,333510,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-14,16080,70,360,1250,5800,8600,3690,321120,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-15,25000,90,360,1650,9100,13800,5130,301250,FALSE,TRUE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-16,23120,140,480,1900,6400,14200,4460,282590,FALSE,TRUE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-17,22810,120,440,1450,7200,13600,5060,264840,FALSE,TRUE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-18,15500,90,360,1050,5800,8200,3350,480000,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-19,15600,100,300,1300,4100,9800,2790,467190,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-20,16370,60,260,850,6200,9000,2400,453220,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-21,16460,80,380,1100,4900,10000,2660,439420,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-22,16740,50,340,1250,4500,10600,4000,426680,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-23,15760,70,240,950,4500,10000,2810,413730,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-24,15840,60,280,1000,4700,9800,3190,401080,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-25,21100,140,460,1500,5200,13800,4800,384780,FALSE,FALSE,TRUE,FALSE
ATM-MALL-01,Mall,2026-08-26,21960,110,500,1550,5400,14400,4540,367360,FALSE,FALSE,TRUE,FALSE
ATM-MALL-01,Mall,2026-08-27,19370,80,340,1750,4800,12400,4490,352480,FALSE,FALSE,TRUE,FALSE
ATM-MALL-01,Mall,2026-08-28,19560,90,620,1850,5600,11400,3530,336450,FALSE,FALSE,TRUE,FALSE
ATM-MALL-01,Mall,2026-08-29,19550,40,260,1050,5000,13200,4310,321210,FALSE,FALSE,TRUE,FALSE
ATM-MALL-01,Mall,2026-08-30,19610,50,360,1400,6400,11400,2960,304560,FALSE,FALSE,TRUE,FALSE
