ATMID,Location,Date,WithdrawalAmount,R10,R20,R50,R100,R200,Deposits,ClosingBalance,Downtime,IsPayday,IsMonthEnd,IsPublicHoliday
ATM-TWNSP-01,Township,2026-08-01,11660,120,340,1600,4400,5200,1210,289550,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-02,10780,120,460,1200,4000,5000,1320,280090,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-03,10830,190,540,1700,5200,3200,1170,270430,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-04,10320,80,340,2000,4100,3800,720,260830,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-05,10690,110,480,2000,5100,3000,1140,251280,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-06,11060,140,620,1600,5100,3600,1200,241420,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-07,10320,190,480,2050,4200,3400,860,231960,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-08,10990,100,440,1750,5100,3600,940,221910,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-09,17630,200,580,2350,8100,6400,1270,205550,FALSE,FALSE,FALSE,TRUE
ATM-TWNSP-01,Township,2026-08-10,10550,80,320,2050,3700,4400,750,195750,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-11,11090,140,500,1950,5500,3000,870,185530,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-12,11370,160,460,1450,4300,5000,1190,175350,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-13,11490,110,480,2500,4600,3800,1200,165060,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-14,10320,100,520,1700,4400,3600,1020,155760,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-15,23250,290,760,3500,9300,9400,2120,134630,FALSE,TRUE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-16,24800,390,960,3950,11300,8200,2340,112170,FALSE,TRUE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-17,24550,360,840,3450,10100,9800,1870,260000,FALSE,TRUE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-18,11630,160,220,1950,4700,4600,1070,249440,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-19,10680,160,520,1600,5000,3400,960,239720,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-20,11690,160,380,1750,5200,4200,1400,229430,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-21,11690,140,400,1650,6100,3400,1430,219170,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-22,10670,120,400,1450,4900,3800,1190,209690,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-23,10430,170,460,1500,5500,2800,750,200010,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-24,11020,140,380,1500,4400,4600,1090,190080,FALSE,FALSE,FALSE,FALSE
ATM-TWNSP-01,Township,2026-08-25,19670,250,620,2900,8700,7200,2260,172670,FALSE,FALSE,TRUE,FALSE
ATM-TWNSP-01,Township,2026-08-26,20720,220,400,3700,8200,8200,2190,154140,TRUE,FALSE,TRUE,FALSE
ATM-TWNSP-01,Township,2026-08-27,19450,250,600,3200,8400,7000,1360,136050,FALSE,FALSE,TRUE,FALSE
ATM-TWNSP-01,Township,2026-08-28,19620,270,700,3250,9000,6400,2430,118860,FALSE,FALSE,TRUE,FALSE
ATM-TWNSP-01,Township,2026-08-29,19240,210,580,3350,8700,6400,2110,101730,FALSE,FALSE,TRUE,FALSE
ATM-TWNSP-01,Township,2026-08-30,21060,170,940,3250,9700,7000,2350,83020,FALSE,FALSE,TRUE,FALSE
